upc14,upc12,brand,name
83000161148,83000161148,Natures Answer,Hrb Alo Ver Phytogl
83000001093,83000001093,Natures Answer,Hrb Angelica Root
83000163616,83000163616,Natures Answer,Hrb Billberry Std
83000160110,83000160110,Natures Answer,Hrb Billberry V Cpx
83000161308,83000161308,Natures Answer,Hrb Bladderwrack
83000160202,83000160202,Natures Answer,Hrb Bladdex
83000161261,83000161261,Natures Answer,Hrb Blk Cohosh Root
83000160295,83000160295,Natures Answer,Hrb Broncitone
83000161469,83000161469,Natures Answer,Hrb Cat Claw In Brk
83000161506,83000161506,Natures Answer,Hrb Cayenne 40000hu
30054002255,30054002255,Natures Herbs,Hrb Celery Seed
83000161582,83000161582,Natures Answer,Hrb Cranberry
83000161667,83000161667,Natures Answer,Hrb Dandelion Root
83000160448,83000160448,Natures Answer,Hrb Di-jest
83000161704,83000161704,Natures Answer,Hrb Don Quai Root
83000163715,83000163715,Natures Answer,Hrb Dong Quai 1%std
83000161827,83000161827,Natures Answer,Hrb Echinacea Herb
83000160479,83000160479,Natures Answer,Hrb Echinca W Astrg
83000160592,83000160592,Natures Answer,Hrb Echnaca Gldnsl
83000160530,83000160530,Natures Answer,Hrb Echnca W Estr C
83000162107,83000162107,Natures Answer,Hrb Eyebright Herb
83000160325,83000160325,Natures Answer,Hrb Female Complex
83000162145,83000162145,Natures Answer,Hrb Fenugreek Seed
83000163814,83000163814,Natures Answer,Hrb Feverfew Ap Std
83000160806,83000160806,Natures Answer,Hrb Garlc Supr Cmpx
83000163838,83000163838,Natures Answer,Hrb Ginger 5%   Std
83000162183,83000162183,Natures Answer,Hrb Ginger Root
83000163876,83000163876,Natures Answer,Hrb Ginkgo      Std
83000162343,83000162343,Natures Answer,Hrb Ginseng Korean
83000162541,83000162541,Natures Answer,Hrb Goldenseal Root
83000162626,83000162626,Natures Answer,Hrb Gotu-kola Herb
83000163975,83000163975,Natures Answer,Hrb Grape Seed  Std
83000163999,83000163999,Natures Answer,Hrb Green Tea   Std
83000162909,83000162909,Natures Answer,Hrb Kelp
83000160899,83000160899,Natures Answer,Hrb Liver Support
83000160356,83000160356,Natures Answer,Hrb Male Complex
83000163067,83000163067,Natures Answer,Hrb Nettle Leaves
83000164217,83000164217,Natures Answer,Hrb Passon Flwr Std
83000163104,83000163104,Natures Answer,Hrb Pau D'arco Bark
83000164231,83000164231,Natures Answer,Hrb Rd Clovr F Tstd
83000163180,83000163180,Natures Answer,Hrb Red Raspb Leaves
83000164279,83000164279,Natures Answer,Hrb Saw Palmeto Oil
30054002767,30054002767,Natures Herbs,Hrb Saw Palmetto
83000163302,83000163302,Natures Answer,Hrb Senna Leaves
83000163340,83000163340,Natures Answer,Hrb Slippery Elm Brk
83000161018,83000161018,Natures Answer,Hrb Slumber
83000163388,83000163388,Natures Answer,Hrb Spirulina 400mg
83000164354,83000164354,Natures Answer,Hrb St.jhns Wt Supr
83000163463,83000163463,Natures Answer,Hrb Valerian Root
83000164439,83000164439,Natures Answer,Hrb Valerian Std
83000164491,83000164491,Natures Answer,Hrb Wild Yam Rt Std
